run_id;experiment_id;Basis;Matt_Beads;Matt_Silica;Wachs;Verdicker;Time_To_Mix;Time_To_Dispense;thickness;gloss_60;gloss_85;haze;CIELAB_10deg_L;CIELAB_10deg_a;CIELAB_10deg_b;Viskos1;Viskos2;abrasion0;abrasion1;abrasion2;abrasion3
845;3;78.92299999999999;14.458;5.235;1.328;0.101;599.0;361.0;35.8;7.2;16.1;37.7;12.1161453283;-0.269983150719;-1.19007882876;149.45100000000002;96.7862;0.1302848987829859;0.1177551512230389;0.1570859440896493;0.1570859440896493
845;4;84.40899999999999;2.259;7.4590000000000005;3.321;2.6020000000000003;722.0;363.0;40.0;14.3;29.9;101.1;6.2567989164;-0.308873153952;-0.887279292693;511.2240000000001;270.892;0.1549370908141543;0.1255685926015182;0.190031052938105;0.190031052938105
845;5;86.54100000000001;0.771;6.426;1.815;4.464;678.0;407.0;35.4;18.0;36.3;136.0;4.3464512922;-0.291739414298;-0.639356553759;907.036;471.242;0.1312382013897256;0.0960946599991967;0.1527116720890067;0.1527116720890067
845;6;77.033;10.471;6.734;3.815;1.951;694.0;347.0;36.6;6.4;13.7;36.8;11.773009681800001;-0.286394486067;-1.01640816404;420.521;232.067;0.1007758213841025;0.0737501004137044;0.1357179077800538;0.1357179077800538
845;7;83.784;4.373;7.792000000000001;0.821;3.2079999999999997;846.0;367.0;35.0;12.9;25.6;88.9;6.6582330570999995;-0.278923134102;-0.788670900975;683.0939999999999;357.76300000000003;0.1430763495601879;0.1234561392938908;0.1685381270835843;0.1685381270835843
845;8;94.283;1.8719999999999999;0.305;2.823;0.719;716.0;368.0;37.4;47.1;68.5;342.6;2.1114937342899998;-0.326483681774;-0.395074767518;348.49800000000005;199.234;0.1216035064465598;0.0895953829778688;0.1411446409205928;0.1411446409205928
845;9;93.52000000000001;0.211;1.3290000000000002;0.9430000000000001;3.994;680.0;325.0;39.4;55.9;75.6;379.7;1.09970887331;-0.267443503205;-0.133386692992;801.975;418.479;0.0927100905731614;0.0739339830100012;0.1050032383419689;0.1050032383419689
845;10;84.008;7.397;4.1450000000000005;2.974;1.498;923.0;324.0;43.5;13.9;27.7;98.3;7.712450229199999;-0.323311011207;-0.779303134195;421.5830000000001;231.415;0.063508530144194;0.0711682130377154;0.0646865084146684;0.0646865084146684
847;1;78.76700000000001;6.473;10.084;1.949;2.7369999999999997;890.0;303.0;43.1;7.0;15.2;40.4;10.7069355243;-0.255752098783;-0.972694257878;507.7799999999999;275.756;0.1210857482829256;0.1027979023577137;0.1430368116640559;0.1430368116640559
847;2;89.282;5.845999999999999;0.758;3.945;0.253;617.0;318.0;40.6;24.3;43.9;187.9;5.6952954065000005;-0.394496361633;-0.538393168659;267.23;159.632;0.1469014841145519;0.1288012862995541;0.1684352030365104;0.1684352030365104
847;3;87.393;6.933;2.1380000000000003;1.438;2.118;622.0;319.0;43.1;21.9;39.8;170.2;5.1709073198699995;-0.272206163734;-0.627300209515;552.008;293.9;0.1274061633931799;0.0992827951158774;0.1457216230871189;0.1457216230871189
847;4;72.897;5.041;14.033;3.443;4.6129999999999995;647.0;316.0;42.1;4.2;10.2;21.9;13.5121347473;-0.210912300748;-0.902988007908;725.631;379.026;0.1576645780616138;0.1223528437161103;0.1876186136883962;0.1876186136883962
847;5;84.64099999999999;7.241;6.843;0.45199999999999996;0.8630000000000001;596.0;356.0;37.6;13.6;27.3;92.3;7.616400634199999;-0.354560619529;-0.938085640982;252.223;146.54;0.1505063361047516;0.1184549092260111;0.178954793750251;0.178954793750251
847;6;90.12;0.053;3.995;2.441;3.367;642.0;328.0;39.6;29.0;50.6;225.1;2.7157230398399994;-0.285663848459;-0.309455904741;774.752;394.4309999999999;0.1668844388882194;0.1414873026870707;0.206117328392979;0.206117328392979
847;7;94.318;0.9420000000000001;1.8920000000000001;1.7080000000000002;1.181;633.0;352.0;37.6;45.4;67.6;340.0;1.70749179261;-0.303322242332;-0.28916796341;393.411;218.246;0.1445800447845122;0.1213242308310238;0.1653010402859782;0.1653010402859782
847;8;79.845;10.597000000000001;2.2009999999999996;3.703;3.684;1519.0;354.0;39.1;10.5;21.8;70.1;8.7657197071;-0.262991862305;-0.958208738201;885.948;462.627;0.0978763756677511;0.0790764198497811;0.1051005141181668;0.1051005141181668
847;9;79.069;1.374;16.431;0.6930000000000001;2.436;626.0;358.0;34.4;7.2;16.0;42.2;10.245259895699999;-0.249661779344;-1.14924104851;325.127;180.856;0.1407247861188095;0.1361208177692091;0.1582155982648511;0.1582155982648511
847;10;84.593;4.513;3.283;2.6940000000000004;4.92;774.0;355.0;44.3;18.0;35.1;138.3;5.32919063291;-0.257244435487;-0.685953724135;390.065;197.715;0.1383292916817287;0.125649551150741;0.1594557075149616;0.1594557075149616
848;1;91.44;3.7279999999999998;1.57;0.191;3.068;705.0;359.0;39.5;39.8;61.6;302.1;2.13787090825;-0.313986412948;-0.321745888893;735.217;386.029;0.1017015102221151;0.0808706872313933;0.1149435674980921;0.1149435674980921
848;2;81.938;3.105;12.215;2.181;0.5670000000000001;691.0;317.0;34.3;9.8;22.2;57.7;9.443688156099999;-0.251447269777;-1.21586875993;107.33899999999998;73.40630000000002;0.1295456028838816;0.1132459483070249;0.1591858456842189;0.1591858456842189
848;3;84.213;9.817;0.46900000000000003;1.195;4.321000000000001;665.0;318.0;34.1;19.8;37.3;156.0;5.45196143074;-0.281233407724;-0.726103207384;1023.35;534.4499999999999;0.1101211993412861;0.1041811011366831;0.1278335492227979;0.1278335492227979
848;4;94.72;0.13699999999999998;0.174;3.2030000000000003;1.805;648.0;318.0;35.8;55.3;75.3;369.3;1.39113039236;-0.264385295042;-0.132201934289;537.861;286.061;0.0773329869060529;0.0638342470980439;0.0894880658312246;0.0894880658312246
849;1;86.802;3.538;2.738;2.265;4.705;762.0;318.0;37.1;23.8;43.0;187.6;3.91401902533;-0.290010833615;-0.559511145238;1013.98;513.501;0.1077150359481061;0.0899901343535365;0.1234705737639073;0.1234705737639073
849;2;90.936;0.554;0.714;3.756;4.071;675.0;322.0;38.9;43.5;66.0;327.6;2.11397332368;-0.334580235419;-0.195498166087;947.645;494.217;0.0994836225248021;0.0817656243724143;0.1157267943928987;0.1157267943928987
849;3;84.67399999999999;10.534999999999998;0.707;1.252;2.82;658.0;323.0;37.6;18.2;34.0;142.0;6.1962313154999995;-0.289636393195;-0.718436520173;680.473;356.831;0.134257515965779;0.1141741474876491;0.1500852261316624;0.1500852261316624
849;4;80.05900000000001;11.167;5.106;2.758;0.959;673.0;362.0;34.9;8.7;17.9;52.4;10.5301478111;-0.338861034215;-0.946687558096;284.307;162.18;0.187607944732297;0.1696257330200425;0.212804253524521;0.212804253524521
850;1;82.043;2.5660000000000003;11.155;0.755;3.451;1002.0;351.0;34.0;10.0;21.4;63.5;7.628098280299999;-0.299575392924;-0.835267206502;615.2920000000001;323.4;0.1679381551994216;0.1480411796602;0.1892490812146041;0.1892490812146041
850;2;87.93100000000001;2.721;6.053;1.764;1.567;889.0;320.0;36.7;19.2;36.3;146.8;5.1398957543299995;-0.308968167856;-0.862714868222;395.592;212.47200000000004;0.153872705546853;0.1399258695826806;0.1768762300678796;0.1768762300678796
850;3;77.676;15.211;3.518;3.266;0.321;839.0;332.0;36.4;6.6;14.2;34.9;12.5217099871;-0.277294297114;-1.0340051128;223.329;133.877;0.1502038398200586;0.1256049925693858;0.1817073844238261;0.1817073844238261
850;4;93.79700000000001;0.248;3.5500000000000003;0.259;2.215;710.0;407.0;39.3;43.5;65.4;327.3;1.3454868735799996;-0.353638355807;-0.167341222213;537.105;283.717;0.0928293318472105;0.0719489295899104;0.1073108707876451;0.1073108707876451
851;1;85.48499999999999;4.992;4.987;2.016;2.519;849.0;319.0;42.8;16.2;31.3;119.2;6.035035959399999;-0.269842316639;-0.656317821636;593.712;314.90400000000005;0.1103283026067397;0.0979046170221311;0.1475209111539543;0.1475209111539543
851;2;78.366;6.543;10.949;3.513;0.649;829.0;332.0;36.4;6.8;15.4;36.5;12.0270672288;-0.293284087649;-1.11604446821;144.669;91.99370000000002;0.1362149556171426;0.1174313170261477;0.1606569064545929;0.1606569064545929
851;3;91.423;3.525;2.7560000000000002;0.7699999999999999;1.573;1136.0;321.0;38.4;33.1;54.8;260.8;2.98448627538;-0.33924228204;-0.38489931511;465.0040000000001;250.614;0.0985522854159135;0.0927245250431779;0.1152523396393139;0.1152523396393139
851;4;93.901;1.22;0.65;1.89;2.347;794.0;362.0;40.4;52.4;71.9;370.9;1.5548527327599997;-0.272565447635;-0.0443687685522;617.2940000000001;320.064;0.0928688697433425;0.0730873699642527;0.1074533327308511;0.1074533327308511
853;1;85.494;5.01;4.983;2.0170000000000003;2.519;682.0;328.0;40.3;16.8;33.1;124.6;5.765544252799999;-0.312247947849;-0.749393149856;597.5490000000001;314.752;0.1117843013214443;0.0978293067437843;0.1359149696750612;0.1359149696750612
853;2;78.377;6.542;10.932;3.5149999999999997;0.647;746.0;342.0;35.3;7.0;16.1;37.9;11.757956408400002;-0.308770452054;-1.16020190353;152.42900000000003;96.87730000000002;0.1502596949431658;0.1223390368317468;0.1716453036510423;0.1716453036510423
853;3;91.42699999999999;3.516;2.712;0.755;1.58;749.0;320.0;38.4;33.1;54.7;257.7;3.28780045279;-0.323288116652;-0.684519654363;458.8040000000001;247.547;0.1050295969393902;0.0829379543720126;0.1246014831104149;0.1246014831104149
853;4;93.905;1.214;0.641;1.8920000000000001;2.3440000000000003;685.0;320.0;34.5;52.4;72.5;357.1;1.4395741736999996;-0.250702622748;-0.312905320284;613.6189999999999;322.842;0.0799619432060087;0.070041696790778;0.0889131973731774;0.0889131973731774
